Date,Open,High,Low,Close,Adj Close,Volume
3/6/2020,293.149994,297.970001,291.536713,291.730011,291.730011,129215346
3/5/2020,304.980011,308.470001,300.01001,302.459991,302.459991,185602100
3/4/2020,306.119995,313.100006,303.329987,312.859985,312.859985,176613400
3/3/2020,309.5,313.839996,297.570007,300.23999,300.23999,300139100
3/2/2020,298.209991,309.160004,294.459991,309.089996,309.089996,238703600
